UNDERLYING                          ,SYMBOL    ,MAY-17     ,JUN-17     ,JUL-17     ,SEP-17     ,DEC-17     ,MAR-18     ,JUN-18     ,DEC-18     ,JUN-19     ,DEC-19     ,JUN-20     ,DEC-20     ,JUN-21     ,DEC-21     ,           
NIFTY BANK                          ,BANKNIFTY ,40         ,40         ,40         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NIFTY 50                            ,NIFTY     ,75         ,75         ,75         ,75         ,75         ,75         ,75         ,75         ,75         ,75         ,75         ,75         ,75         ,75         ,           
S&P 500                             ,S&P500    ,250        ,250        ,250        ,250        ,250        ,250        ,           ,           ,           ,           ,           ,           ,           ,           ,           
DOW JONES INDUSTRIAL AVG            ,DJIA      ,30         ,30         ,30         ,30         ,30         ,30         ,           ,           ,           ,           ,           ,           ,           ,           ,           
FTSE 100 INDEX                      ,FTSE100   ,100        ,100        ,100        ,100        ,100        ,100        ,           ,           ,           ,           ,           ,           ,           ,           ,           
NIFTY CPSE                          ,NIFTYCPSE ,250        ,250        ,250        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NIFTY PSE                           ,NIFTYPSE  ,200        ,200        ,200        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NIFTY IT                            ,NIFTYIT   ,50         ,50         ,50         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NIFTY MIDCAP 50                     ,NIFTYMID50,200        ,200        ,200        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NIFTY INFRASTRUCTURE                ,NIFTYINFRA,225        ,225        ,225        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INDIA VOLATILITY INDEX              ,INDIAVIX  ,800        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
Derivatives on Individual Securities,Symbol    ,MAY-17     ,JUN-17     ,JUL-17     ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
